Link,image,Title,type,City,Price,date_P
https://visitmarrakech.com/listing/lendroit/,https://visitmarrakech.com/wp-content/uploads/2023/08/LA-VILLA--800x800.jpeg,L’endroit,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/cantobar/,https://visitmarrakech.com/wp-content/uploads/2023/08/IMG-20230808-WA0054-800x800.jpg,Cantobar,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/le-blokk/,https://visitmarrakech.com/wp-content/uploads/2023/08/b1.jpg,Le Blokk,Dîner,Marrakech,,
https://visitmarrakech.com/listing/dar-yacout/,https://visitmarrakech.com/wp-content/uploads/2023/08/y00-800x800.jpg,Dar Yacout,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/lauberge-espagnole/,https://visitmarrakech.com/wp-content/uploads/2023/08/a01-1-800x800.jpg,L’Auberge Espagnole,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/poka/,https://visitmarrakech.com/wp-content/uploads/2023/08/IMG-20230808-WA0004-800x800.jpg,Poka By Katsura,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/douar/,https://visitmarrakech.com/wp-content/uploads/2023/08/9E0A8111-800x800.jpg,Douar,Rooftop,Marrakech,,
https://visitmarrakech.com/listing/akira-back/,https://visitmarrakech.com/wp-content/uploads/2023/08/0D9A7196-800x800.jpg,Akira Back,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/point-bar/,https://visitmarrakech.com/wp-content/uploads/2023/07/p.jpg,Point Bar,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/le-petit-cornichon/,https://visitmarrakech.com/wp-content/uploads/2023/06/IMG-20230609-WA0049-800x800.jpg,Le Petit Cornichon,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/chez-ali/,https://visitmarrakech.com/wp-content/uploads/2023/06/a6.jpg,Chez Ali,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/ksar-el-hamra/,https://visitmarrakech.com/wp-content/uploads/2023/06/k3.jpg,Ksar El Hamra,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/le-grand-cafe-de-latlas/,https://visitmarrakech.com/wp-content/uploads/2023/06/IMG-20230609-WA0052-800x682.jpg,Le Grand Café de l’Atlas,Café,Marrakech,,
https://visitmarrakech.com/listing/vita-nova/,https://visitmarrakech.com/wp-content/uploads/2023/06/v.jpg,Vita Nova,Café,Marrakech,,
https://visitmarrakech.com/listing/la-trattoria/,https://visitmarrakech.com/wp-content/uploads/2023/06/image0-800x800.jpeg,La Trattoria,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/catanzaro/,https://visitmarrakech.com/wp-content/uploads/2023/06/c-800x800.jpg,Catanzaro,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/kabana/,https://visitmarrakech.com/wp-content/uploads/2023/06/WhatsApp-Image-2023-04-18-at-11.24.19-3-768x800.jpeg,Kabana,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/le-marocain-de-la-mamounia/,https://visitmarrakech.com/wp-content/uploads/2023/03/mamounia2-800x641.jpg,Le Marocain de la Mamounia,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/sesamo-royal-mansour/,https://visitmarrakech.com/wp-content/uploads/2023/03/mansour01-800x800.jpg,Sesamo Royal Mansour,Restaurant,Marrakech,,
https://visitmarrakech.com/listing/le-caravane/,https://visitmarrakech.com/wp-content/uploads/2023/03/caravane01-800x612.jpg,Le Caravane,Restaurant,Marrakech,,
